parent_symbol,child_symbol,beta,PIP,LFSR
IKZF1,AKAP8,-0.00426668496257273,0.0,0.0
IL2RA,AKAP8,-0.00263749524536964,0.0,0.0
IRF1,AKAP8,0.00130383401572559,0.0,0.3615
IRF2,AKAP8,-0.000826545582819714,0.0,0.3155
IRF3,AKAP8,-0.016039965771967,0.0,0.0
IRF4,AKAP8,0.0160025520466808,0.0,0.0
IRF7,AKAP8,0.0211267382296658,0.0,0.0
IRF8,AKAP8,-0.00486770844812552,0.0,0.0
IRF9,AKAP8,0.00958602629813428,0.0,0.0
JAK3,AKAP8,-0.00466118582698355,0.0,0.0
KLF2,AKAP8,-0.0198016994620297,0.0,0.0
KLF9,AKAP8,-0.000765923738411326,0.0,0.324
KMT2A,AKAP8,0.00172375969242122,0.0,0.3185
LCOR,AKAP8,-0.0034430733328754,0.0,0.0
MBD2,AKAP8,-0.010582993693671,0.0,0.0
MED12,AKAP8,0.0165634148097989,0.0,0.0
MYB,AKAP8,0.0015295655772404,0.0,0.312
MYSM1,AKAP8,0.00291806864068374,0.0,0.361
NFAT5,AKAP8,-0.00634426138790079,0.0,0.0
NFE2L2,AKAP8,-0.00108576354367382,0.0,0.315
NFE2L3,AKAP8,0.00914541325162663,0.0,0.0
NFKB1,AKAP8,0.0059490191509685,0.0,0.0
NFKB2,AKAP8,0.0056251687545574,0.0,0.0
POU2F1,AKAP8,-0.00543616849783816,0.0,0.0
PTEN,AKAP8,0.00688722843159802,0.0,0.0
RBCK1,AKAP8,0.0066324182155545,0.0,0.0
REL,AKAP8,-0.00943685471264018,0.0,0.0
RELA,AKAP8,0.00180924986087456,0.0,0.046
RELB,AKAP8,-0.0134665139281884,0.0,0.0
RFX5,AKAP8,0.00756832280942016,0.0,0.0
RORC,AKAP8,0.00301400994902896,0.0,0.0
SETDB1,AKAP8,-0.000471512914923839,0.0,0.3585
SON,AKAP8,-0.000452847594113478,0.0,0.358
SP110,AKAP8,0.0182874130360182,0.0,0.0
